#  idx_gal   shID  Ngali  Ngalf    Rij(kpc)  size(kpc)  sigm(km/s)  Pmin(ds)    GrNr    x(kpc)    y(kpc)   V_LOS(km/s)
      0        0      0      0        0.00       0.00       0.00    -1.0000      -1   56143.09   24144.82 -357693.66
      1        1      0      0        0.00       0.00       0.00    -1.0000      -1   66594.77   27191.18 -440839.76
      2        2      0      0        0.00       0.00       0.00    -1.0000      -1   54112.04   19134.17  634227.63
      3        3      0      0        0.00       0.00       0.00    -1.0000      -1   80969.63   32187.40   18248.43
      4        4      0      0        0.00       0.00       0.00    -1.0000      -1   56567.23  -40296.66  898488.68
      5        5      0      0        0.00       0.00       0.00    -1.0000      -1   31882.32   89775.35  477544.02
      6        6      0      0        0.00       0.00       0.00    -1.0000      -1   96209.21   -6624.04  943232.72
      7        7      0      0        0.00       0.00       0.00    -1.0000      -1   26387.87    6312.84  125782.42
      8        8      0      0        0.00       0.00       0.00    -1.0000      -1   92629.44   -2881.63 1420964.95
      9        9      0      0        0.00       0.00       0.00    -1.0000      -1   65627.25   27543.28  410248.70
     10       10      0      0        0.00       0.00       0.00    -1.0000      -1   66854.58   27292.26   16177.02
     11       11      0      0        0.00       0.00       0.00    -1.0000      -1   68156.74   30110.10 2172144.25
     12       12     12     12    77843.86    3300.81  735583.84     0.3270      11   72840.05    7291.80  -13565.59
     13       13      0      0        0.00       0.00       0.00    -1.0000      -1   80764.60   -7040.45  737181.35
     14       14      0      0        0.00       0.00       0.00    -1.0000      -1   90494.66   10748.60  217692.68
     15       15      0      0        0.00       0.00       0.00    -1.0000      -1   85755.39   43925.84 -539518.15
     16       16      0      0        0.00       0.00       0.00    -1.0000      -1   94782.62   13494.68  758243.07
     17       17      0      0        0.00       0.00       0.00    -1.0000      -1   50366.76   25350.47 1089502.79
     18       18      0      0        0.00       0.00       0.00    -1.0000      -1   74181.94   45518.38 -2269398.58
     19       19     12     12    51388.27    1133.55  877231.28     0.0010       0   -1802.77   58968.19 1371351.85
     20       20     12     12    51388.27    1133.55  877231.28     0.0000       0    5209.50   46728.09 -104246.01
     21       21      0      0        0.00       0.00       0.00    -1.0000      -1   88263.22   52558.47  402257.49
     22       22      6      6    22435.23    8573.19  468467.94     0.0740       2    4590.52   -9953.44 -562711.39
     23       23      0      0        0.00       0.00       0.00    -1.0000      -1   87795.24   12835.44  929737.43
     24       24      0      0        0.00       0.00       0.00    -1.0000      -1  136190.76   41259.31  384727.23
     25       25      0      0        0.00       0.00       0.00    -1.0000      -1  -34089.28   57823.84  431897.21
     26       26      9      9   124985.60    4608.06  327646.68     0.5070      15  118608.52   13496.20  191202.40
     27       27      0      0        0.00       0.00       0.00    -1.0000      -1  111329.03   38921.88 -224356.71
     28       28      0      0        0.00       0.00       0.00    -1.0000      -1   77570.34   -3912.59 1657700.15
     29       29      0      0        0.00       0.00       0.00    -1.0000      -1   58975.50   37227.01 2177334.81
     30       30      9      9   124985.60    4608.06  327646.68     0.0050      15  134882.39    2309.01  168547.73
     31       31      6      6    20532.13   20515.48  201556.94     0.0060      10  -13187.84    9738.15  369618.18
     32       32      0      0        0.00       0.00       0.00    -1.0000      -1   59342.95   38663.80 -1113625.41
     33       33      0      0        0.00       0.00       0.00    -1.0000      -1   71082.45   40731.29 1000246.25
     34       34      0      0        0.00       0.00       0.00    -1.0000      -1   94922.66   63144.95 1598432.67
     35       35      6      6    22435.23    8573.19  468467.94     0.0010       2     168.42  -32738.53 -1251346.94
     36       36      0      0        0.00       0.00       0.00    -1.0000      -1   70327.65   27225.66 -787296.09
     37       37      0      0        0.00       0.00       0.00    -1.0000      -1   87329.90   72862.05  152092.72
     38       38      0      0        0.00       0.00       0.00    -1.0000      -1   97519.05    5350.51 -174960.29
     39       39      0      0        0.00       0.00       0.00    -1.0000      -1   63145.67   26538.64 -294201.82
     40       40      0      0        0.00       0.00       0.00    -1.0000      -1   63907.36   24191.92   24172.69
     41       41      0      0        0.00       0.00       0.00    -1.0000      -1   67455.27   25720.90 1209054.06
     42       42      0      0        0.00       0.00       0.00    -1.0000      -1   68969.37   26776.08 1227793.09
     43       43      6      6    20532.13   20515.48  201556.94     0.0600      10    1494.02   12644.19  431654.70
     44       44      0      0        0.00       0.00       0.00    -1.0000      -1  108681.24   38161.71 -325693.71
     45       45      0      0        0.00       0.00       0.00    -1.0000      -1   69677.18   44790.79  121212.73
     46       46      6      6    20532.13   20515.48  201556.94     0.2780      10  -10067.43   24256.38   71866.61
     47       47      9      9   124985.60    4608.06  327646.68     0.1970      15  122243.92    5785.19  668134.38
     48       48      0      0        0.00       0.00       0.00    -1.0000      -1   58490.59   57865.74 -286055.75
     49       49      0      0        0.00       0.00       0.00    -1.0000      -1  -29853.47   16354.37 -454861.14
     50       50      0      0        0.00       0.00       0.00    -1.0000      -1   65028.89   46543.44  211626.15
     51       51      0      0        0.00       0.00       0.00    -1.0000      -1   76058.53   24801.33 -796882.21
     52       52      6      6    69150.63     415.10  307902.84     0.0070      16   38101.62   54382.27  608692.63
     53       53      0      0        0.00       0.00       0.00    -1.0000      -1  -69091.50  -72989.64  119874.21
     54       54      0      0        0.00       0.00       0.00    -1.0000      -1  142198.36   24147.23 1198034.08
     55       55      6      6   104065.01   26013.79  164555.16     0.0010      12 -109146.15   34630.91  206509.86
     56       56      0      0        0.00       0.00       0.00    -1.0000      -1  119384.73   45661.17 -221832.70
     57       57      6      6    22435.23    8573.19  468467.94     0.0030       2   10471.82  -28511.25 -418095.10
     58       58      0      0        0.00       0.00       0.00    -1.0000      -1  100862.17   13776.35 -102651.74
     59       59      0      0        0.00       0.00       0.00    -1.0000      -1   35134.30   31378.49  296675.34
     60       60      3      3    74499.90    1292.33   23332.46     0.0000       8   64425.16   36227.34 -501623.01
     61       61      0      0        0.00       0.00       0.00    -1.0000      -1   67283.43   31394.84  250838.16
