#   GrNr    Ngal    Rij(kpc)  size(kpc)  sigm(km/s)  Vmean(km/s) Pmin(ds)   Pmin_avr(ds)
      0      12    51388.27    1133.55  877231.28 -912271.23     0.0000     0.0004
      1       6   186786.15     867.01  123469.18  803538.84     0.0000     0.0005
      2       6    22435.23    8573.19  468467.94 -891624.73     0.0010     0.0357
      3       6   176140.95     529.55  214548.82  503059.88     0.0000     0.0043
      4       6    84760.46    7270.02  295060.55  398960.66     0.0060     0.0115
      5       3   140554.14    2398.32   50059.87  379539.72     0.0020     0.0080
      6      15    37104.30    3617.79  790895.66 -623612.00     0.0000     0.0684
      7       6    37542.79    4011.71  344211.93 -1128486.25     0.0000     0.0010
      8       3    74499.90    1292.33   23332.46 -520894.45     0.0000     0.0093
      9       3   109363.35    3806.50   73185.76 1930156.96     0.0000     0.0060
     10       6    20532.13   20515.48  201556.94  412944.74     0.0060     0.1583
     11      12    77843.86    3300.81  735583.84 -788035.82     0.0010     0.1868
     12       6   104065.01   26013.79  164555.16  486732.85     0.0010     0.1120
     13       3    34765.07    1527.00   44534.46  591630.77     0.0020     0.3427
     14       6   174276.85   40107.60  173622.15  281003.42     0.0030     0.0962
     15       9   124985.60    4608.06  327646.68  108724.14     0.0050     0.1381
     16       6    69150.63     415.10  307902.84  690922.01     0.0070     0.1700
