#  idx_gal   gal_id   Ngal    Ri_avr(kpc)  size_i(kpc)   sigma_i(km/s)   delta_v    delta_sigma     P_v      P_sigma    Pmin(ds)
      0         0       3      60047.27        742.62     766628.89      0.78106      0.52363     0.3130     0.5100     0.3130
      0         0       6      61523.07        742.62     648661.50      0.39779      1.30853     0.6420     0.2350     0.2350
      0         0       9      61055.55        742.62     725504.20      0.12528      1.03535     0.8770     0.2730     0.2730
      0         0      12      61412.60        742.62     752065.27      0.78504      0.96940     0.4110     0.2590     0.2590
      0         0      15      61735.22        742.62     738334.72      1.38707      1.16693     0.1250     0.2000     0.1250
      1         1       3      71771.90       1227.32     425932.00      0.00697      2.03514     0.9900     0.1980     0.1980
      1         1       6      71664.62       1227.32     927128.22      1.65576     -0.09305     0.0610     0.6290     0.0610
      1         1       9      71582.41       1227.32     889471.08      1.91311      0.12563     0.0520     0.5540     0.0520
      1         1      12      71667.14       1227.32     982417.90      2.13432     -0.50586     0.0270     0.7070     0.0270
      1         1      15      71468.37       1227.32    1063345.95      1.32438     -1.16856     0.1560     0.8360     0.1560
      2         2       3      58712.60       2293.18     570875.24      0.76971      1.36713     0.3130     0.3620     0.3130
      2         2       6      58328.94       2293.18     580892.15      0.87109      1.67881     0.3340     0.1730     0.1730
      2         2       9      57353.55       2293.18     764818.08      0.16770      0.78509     0.8420     0.3690     0.3690
      2         2      12      58170.28       2293.18     742922.29      0.29168      1.03454     0.7460     0.2500     0.2500
      2         2      15      59157.53       2293.18     690509.94      0.36052      1.53945     0.6930     0.1510     0.1510
      3         3       3      87033.09       2330.23     754299.85      0.33981      0.54633     0.6770     0.5240     0.5240
      3         3       6      84948.49       2330.23    1085196.19      1.21980     -1.13214     0.1780     0.8360     0.1780
      3         3       9      86418.69       2330.23    1395156.39      0.20013     -3.31058     0.8240     0.9880     0.8240
      3         3      12      84980.30       2330.23    1235651.96      0.44218     -2.55785     0.6360     0.9750     0.6360
      3         3      15      85653.90       2330.23    1132509.75      0.03662     -1.98594     0.9720     0.9420     0.9420
      4         4       3      66692.31       8208.74     382255.37      0.67250      2.21792     0.3690     0.1510     0.1510
      4         4       6      58606.44       8208.74     830802.69      1.10412      0.31333     0.2240     0.5210     0.2240
      4         4       9      66424.03       8208.74     723337.15      0.77659      1.15546     0.4510     0.2490     0.2490
      4         4      12      70445.22       8208.74     785671.12      1.27427      0.86251     0.1740     0.3310     0.1740
      4         4      15      66777.00       8208.74     771881.85      0.77629      1.04446     0.4250     0.2710     0.2710
      5         5       3      89819.00        269.35     803789.85      0.70650      0.17470     0.3310     0.5930     0.3310
      5         5       6      86837.25        269.35     679450.88      1.74592      1.10555     0.0450     0.3180     0.0450
      5         5       9      82576.45        269.35     849278.71      1.14122      0.19684     0.2180     0.4860     0.2180
      5         5      12      82419.85        269.35     896674.55      0.76102     -0.12052     0.4540     0.5880     0.4540
      5         5      15      79455.95        269.35     833809.29      0.77182      0.36247     0.4420     0.4520     0.4420
      6         6       3      95936.81       5916.35    1023774.52      0.95227     -0.82489     0.2390     0.7650     0.2390
      6         6       6      95809.45       5916.35     958594.01      0.48763     -0.67042     0.5600     0.7320     0.5600
      6         6       9      97504.13       5916.35    1080646.50      1.82788     -1.60038     0.0510     0.8870     0.0510
      6         6      12      95765.78       5916.35     956510.64      1.71202     -0.85842     0.0700     0.7720     0.0700
      6         6      15      96158.54       5916.35     939495.46      2.49602     -0.79887     0.0050     0.7390     0.0050
      7         7       3      26684.81       6090.16     849575.98      0.30553     -0.46418     0.7030     0.7200     0.7030
      7         7       6      29524.99       6090.16     626030.31      0.32674      0.89192     0.7040     0.3340     0.3340
      7         7       9      30281.39       6090.16     573680.98      0.34889      1.52715     0.7530     0.1590     0.1590
      7         7      12      33641.37       6090.16     563575.05      0.29068      1.79031     0.7630     0.0910     0.0910
      7         7      15      33781.58       6090.16     559116.60      0.69923      1.99684     0.4680     0.0710     0.0710
      8         8       3      94690.09       1269.64     368348.94      1.59964      2.15329     0.0310     0.1630     0.0310
      8         8       6      94559.82       1269.64     724303.04      1.26154      0.67950     0.1470     0.3970     0.1470
      8         8       9      93981.57       1269.64     780633.36      0.54327      0.41352     0.5090     0.4560     0.4560
      8         8      12      92219.00       1269.64     833009.22      1.40440      0.06931     0.1470     0.5470     0.1470
      8         8      15      89972.45       1269.64     854299.33      1.59970     -0.09908     0.0930     0.6100     0.0930
      9         9       3      71548.35        824.15    1336604.27      1.03976     -1.79604     0.1740     0.8830     0.1740
      9         9       6      71187.53        824.15    1031199.19      0.97613     -0.64822     0.2630     0.7260     0.2630
      9         9       9      71445.97        824.15     915429.58      1.34756     -0.03571     0.1640     0.6060     0.1640
